Title,IMDB ID,Released in Theaters,Release Year,Rating,Rotten Tomatoes,Wikipedia ID
The Irishman,tt1302006,True,2019,NR,771147522,43792007
Marriage Story,tt7653254,True,2019,NR,771511532,56172845
Klaus,tt4729430,False,2019,NR,0,0
The King,tt7984766,False,2019,NR,771511526,49367402
Star Wars: The Last Jedi,tt2527336,False,2017,NR,771382945,43910621
Dr. Seuss' The Grinch,tt2709692,False,2018,PG,771252064,50758480
Let It Snow,tt1950235,False,2019,PG-13,0,0
The Knight Before Christmas,tt10060094,False,2019,NR,0,61224501
How the Grinch Stole Christmas,tt0170016,False,2000,PG,10401,4867859
Solo: A Star Wars Story,tt3778644,False,2018,NR,771421829,52193417
White Christmas,tt0047673,False,1954,NR,18069,2817162
The Laundromat,tt5865326,False,2019,R,0,0
Holiday Rush,tt10091530,False,2019,NR,771514864,62070753
I Lost My Body,tt9806192,False,2019,NR,0,0
After,tt4126476,False,2019,NR,0,0
A Christmas Prince: The Royal Baby,tt10006006,False,2019,NR,0,0
Pulp Fiction,tt0110912,False,1994,R,13863,54173
Shot Caller,tt4633690,False,2017,R,771471884,47216500
The Departed,tt0407887,False,2006,R,314387087,1349086
The Christmas Chronicles,tt2990140,False,2018,PG,0,0
Christmas with the Kranks,tt0388419,False,2004,PG,10018,1238514
Dolemite Is My Name,tt8526872,False,2019,NR,0,0
Awake,tt7584702,False,2019,NR,0,0
The Matrix,tt0133093,False,1999,R,12897,30007
Avengers: Infinity War,tt4154756,False,2018,PG-13,771401853,44240443
El Camino: A Breaking Bad Movie,tt9243946,False,2019,NR,771512300,59949241
Love,tt3774694,False,2015,R,771419616,46501469
Raging Bull,tt0081398,False,1980,R,15121,25506
A Christmas Prince,tt7608418,False,2017,NR,771486835,55853567
Spider-Man: Into the Spider-Verse,tt4633694,False,2018,PG,0,47069739
Holiday in the Wild,tt8510488,False,2019,NR,771514860,57880710
Brick,tt0393109,False,2006,R,126518601,2748709
Earthquake Bird,tt8178486,False,2019,R,0,0
Inglourious Basterds,tt0361748,False,2009,R,770671947,633052
Fractured,tt4332232,False,2019,NR,771513365,59436409
End of Watch,tt1855199,False,2012,R,771271133,35729649
Black Panther,tt1825683,False,2018,PG-13,771401855,41677925
In the Shadow of the Moon,tt8110640,False,2019,NR,771496160,57692145
Drive,tt0780504,False,2011,R,771224338,30273553
Mean Streets,tt0070379,False,1973,R,14993,18996
Zodiac,tt0443706,False,2007,R,358188521,2654186
Schindler's List,tt0108052,False,1993,R,12903,65834
Blue Is the Warmest Color,tt2278871,False,2013,NC-17,771355257,39159786
The Hateful Eight,tt3460252,False,2015,R,771372896,43308964
Grease,tt0077631,False,1978,PG-13,10080,336846
The Witch,tt4263482,False,2016,R,771412296,45379583
Her,tt1798709,False,2013,R,771356295,36885907
Snowpiercer,tt1706620,False,2013,R,771339986,35816879
Once Upon a Time in the West,tt0064116,False,1968,PG-13,10196,284676
American History X,tt0120586,False,1998,R,12900,171562
In the Tall Grass,tt4687108,False,2019,NR,0,0
The Nutcracker and the Four Realms,tt5523010,False,2018,NR,0,0
American Psycho,tt0144084,False,2000,R,17355,4846576
"Extremely Wicked, Shockingly Evil and Vile",tt2481498,False,2019,NR,0,55677108
Eli,tt5294518,False,2019,R,0,0
Gangs of New York,tt0217505,False,2002,R,13106,188902
Santa Girl,tt7315570,False,2019,NR,0,0
Charlie's Angels,tt0160127,False,2000,PG-13,11062,342692
Moonlight,tt4975722,False,2016,R,771446056,48320630
Scott Pilgrim vs. The World,tt0446029,False,2010,PG-13,770782775,17574075
Ex Machina,tt0470752,False,2015,R,771383086,44236932
Mary Poppins Returns,tt5028340,False,2018,PG,771444568,47886328
The Babysitter,tt4225622,False,2017,NR,771429247,47800185
Sin City,tt0401792,False,2005,R,29,1336308
Troy,tt0332452,False,2004,R,12890,323715
A Christmas Prince: The Royal Wedding,tt8709036,False,2018,PG,0,0
Zombieland,tt1156398,False,2009,R,770802740,21835208
Room,tt3170832,False,2015,R,771422480,44425370
Triple Frontier,tt1488606,False,2019,NR,0,0
The Long Kiss Goodnight,tt0116908,False,1996,R,13322,690042
Polar,tt4139588,False,2019,R,771503073,56674954
Indiana Jones and the Raiders of the Lost Ark,tt0082971,False,1981,PG,23529,54166
What's Eating Gilbert Grape,tt0108550,False,1993,PG-13,10139,656608
Ralph Breaks the Internet: Wreck-It Ralph 2,tt5848272,False,2018,PG,0,0
Murder Mystery,tt1618434,False,2019,PG-13,0,0
The Ballad of Buster Scruggs,tt6412452,False,2018,NR,771497328,54738613
Iron Sky: The Coming Race,tt3038708,False,2019,NR,0,0
Clash of the Titans,tt0800320,False,2010,PG-13,770805266,22358819
Step Brothers,tt0838283,False,2008,R,385330691,7984798
Popeye,tt0081353,False,1980,PG,10281,1339188
Olympus Has Fallen,tt2302755,False,2013,R,771320125,37052715
Mystic River,tt0327056,False,2003,R,14799,460052
Bird Box,tt2737304,False,2018,NR,771500145,40030145
Nymphomaniac: Volume I,tt1937390,False,2013,NR,771306019,34470911
The Rainmaker,tt0119978,False,1997,PG-13,10510,190423
Sweet Virginia,tt2582498,False,2017,R,771471384,54610948
Austin Powers: International Man of Mystery,tt0118655,False,1997,PG-13,10711,151465
Under the Skin,tt1441395,False,2014,R,771362044,39502001
The Lobster,tt3464902,False,2015,R,771421928,41841614
The Green Inferno,tt2403021,False,2014,R,771350024,40008875
The Matrix Reloaded,tt0234215,False,2003,R,13008,123417
The Highwaymen,tt1860242,False,2019,NR,0,56569693
Kill the Irishman,tt1416801,False,2011,R,0,22947141
Black Hawk Down,tt0265086,False,2001,R,12917,106328
The Incredibles 2,tt3606756,False,2018,NR,771432066,39502474
American Son,tt9664078,False,2019,NR,0,0
Trainspotting,tt0117951,False,1996,R,16743,105434
Blow,tt0221027,False,2001,R,12923,96893
Roma,tt6155172,False,2018,NR,0,0
Indiana Jones and the Last Crusade,tt0097576,False,1989,PG-13,23531,51888
Train to Busan,tt5700672,False,2016,NR,771443360,50461635
Spring Breakers,tt2101441,False,2013,R,771307054,34004505
Gerald's Game,tt3748172,False,2017,NR,771476082,52029241
Okja,tt3967856,False,2017,NR,771434088,48473717
Just Cause,tt0113501,False,1995,R,14755,2529009
Bad Boys,tt0112442,False,1995,R,16193,673613
V for Vendetta,tt0434409,False,2006,R,112770454,1891886
Rocky,tt0075148,False,1976,PG,11405,45772
Dallas Buyers Club,tt0790636,False,2013,R,771358464,37617614
The King's Speech,tt1504320,False,2010,R,770816664,25080984
Christmas Inheritance,tt7608534,False,2017,NR,0,0
Gosford Park,tt0280707,False,2001,R,13293,142476
Cloud Atlas,tt1371111,False,2012,R,771310572,31232694
Hot Rod,tt0787475,False,2007,PG-13,761762299,6937139
Bright,tt5519340,False,2017,NR,771439881,49628665
Rosemary's Baby,tt0063522,False,1968,R,13060,9830229
The Princess Switch,tt8954732,False,2018,PG,0,0
The Conjuring,tt1457767,False,2013,R,771312656,37671451
Unaccompanied Minors,tt0488658,False,2006,PG,387310978,8023659
John Carter,tt0401729,False,2012,PG-13,770801433,982480
Indiana Jones and the Temple of Doom,tt0087469,False,1984,PG-13,23530,81503
Layer Cake,tt0375912,False,2004,R,16153,1044633
Outlaw King,tt6679794,False,2018,R,0,0
The Dirt,tt0800325,False,2019,R,0,0
The First Wives Club,tt0116313,False,1996,PG,10391,2018921
Time Trap,tt4815122,False,2017,NR,0,0
Jackie Brown,tt0119396,False,1997,R,13004,394792
The Meyerowitz Stories (New and Selected),tt5536736,False,2017,NR,771446613,49746122
The Time Machine,tt0268695,False,2002,PG-13,10794,3759215
Jupiter Ascending,tt1617661,False,2015,PG-13,771352387,37599043
Blood Diamond,tt0450259,False,2006,R,358182346,4453691
Ant-Man and The Wasp,tt5095030,False,2018,PG-13,771432062,48122556
I Am Mother,tt6292852,False,2019,NR,0,57932391
The Theory of Everything,tt2980516,False,2014,PG-13,771366367,39693688
Between Two Ferns: The Movie,tt9398640,False,2019,NR,771509060,60851971
Lolita,tt0056193,False,1962,R,20226,1488066
Spider-Man 3,tt0413300,False,2007,PG-13,358167972,702117
The Adventures of Sharkboy & Lavagirl,tt0424774,False,2005,PG,1786,1996350
Fracture,tt0488120,False,2007,R,632318478,7920068
Charlie's Angels: Full Throttle,tt0305357,False,2003,PG-13,17226,256337
Men in Black,tt0119654,False,1997,PG-13,12656,167599
Frances Ha,tt2347569,False,2013,R,771315440,37888701
Austin Powers: The Spy Who Shagged Me,tt0145660,False,1999,PG-13,10667,241603
A Night at the Roxbury,tt0120770,False,1998,PG-13,10262,149748
To All the Boys I've Loved Before,tt3846674,False,2018,NR,771495113,54623882
Tusk,tt3099498,False,2014,R,771372255,40530064
The Kissing Booth,tt3799232,False,2018,NR,0,0
Primal Fear,tt0117381,False,1996,R,13253,1055466
The Place Beyond the Pines,tt1817273,False,2013,R,771272420,33572843
The Pursuit of Happyness,tt0454921,False,2006,PG-13,348520342,2162986
The Wolf's Call,tt7458762,False,2019,NR,771506332,60174677
The Silence,tt7315484,False,2019,NR,0,0
The Game,tt0119174,False,1997,R,15651,3911312
The Lives of Others,tt0405094,False,2006,R,371352714,5454803
Inside Man: Most Wanted,tt7832848,False,2019,R,771510788,58947932
Crash,tt0375679,False,2004,R,12,1749535
Superman Returns,tt0348150,False,2006,PG-13,155655236,1082656
Sling Blade,tt0117666,False,1996,R,13636,171522
"Lock, Stock and Two Smoking Barrels",tt0120735,False,1998,R,15261,210151
Movie 43,tt1333125,False,2013,R,771223474,29097142
American Honey,tt3721936,False,2016,R,771437013,46752689
The Perfection,tt7772580,False,2018,NR,0,0
She's Out of My League,tt0815236,False,2010,R,770682073,16936786
The Danish Girl,tt0810819,False,2015,R,0,25329994
Lincoln,tt0443272,False,2012,PG-13,770682079,31724592
Green Room,tt4062536,False,2016,R,771419054,44256011
Limitless,tt1219289,False,2011,PG-13,771036677,27372372
It Comes at Night,tt4695012,False,2017,R,771468387,51625807
The Princess and the Frog,tt0780521,False,2009,G,770682608,6141751
Hell or High Water,tt2582782,False,2016,R,771442759,46533222
